Player Name,Age,Position,Team,OverallComposite,OverallComposite_Percentile,OffensiveComposite,OffensiveComposite_Percentile,MidfielderType,ShootingComposite,ShootingComposite_Percentile,PassingComposite,PassingComposite_Percentile,DribblingComposite,DribblingComposite_Percentile,DefendingComposite,DefendingComposite_Percentile,PositioningComposite,PositioningComposite_Percentile,TeamNPXG/90,Team Tackles/90,Team Touches/90,Team Sucessful Take-Ons,Team Passes Completed,Season,League,90s,npxG,Share of npxG,Non Penalty Goals,Non Penalty Goals/TeamXG,Shots,Passes Attempted,Pass Completion %,Passes Completed,Share of Passes Completed,Average Pass Length,Assists,xAG,Progressive Passes,Progressive Passes/Passes Completed,Successful Take-Ons,Share of Sucessful Take-Ons,Successful Take-On Percentage,Progressive Carries,Tackles Won,Share of Tackles Won,Tackle Completion %,Blocks,Aerial Duels Won,Aerial Duel Win %,Interceptions,Progressive Passes Received,Touches,Share of Touches,Player Image Address,Team Image Address,90s_Percentile,npxG_Percentile,Share of npxG_Percentile,Non Penalty Goals_Percentile,Non Penalty Goals/TeamXG_Percentile,Shots_Percentile,Passes Completed_Percentile,Share of Passes Completed_Percentile,Pass Completion %_Percentile,Average Pass Length_Percentile,Assists_Percentile,xAG_Percentile,Progressive Passes/Passes Completed_Percentile,Successful Take-Ons_Percentile,Share of Sucessful Take-Ons_Percentile,Successful Take-On Percentage_Percentile,Progressive Carries_Percentile,Tackles Won_Percentile,Share of Tackles Won_Percentile,Tackle Completion %_Percentile,Aerial Duels Won_Percentile,Aerial Duel Win %_Percentile,Interceptions_Percentile,Blocks_Percentile,Progressive Passes Received_Percentile,Touches_Percentile,Share of Touches_Percentile
Lucas Paqueta,26,MF,West Ham,57.62,75,23.79,60.2,Balanced,68.5,73.1,54.58,64.8,40.13,33.3,56.02,63,55.72,65.7,1.18,17.210526315789473,602.3,9.13,390,2024/2025,Premier League,26.4,0.14,0.12,0.08,0.07,1.47,55.06,0.77,42.56,0.11,16.59,0,0.12,5.86,0.14,0.79,0.09,0.45,0.98,1.4,0.08,0.56,1.1,1.82,0.46,0.68,3.21,67.92,0.11,https://fbref.com/req/202302030/images/headshots/9b6f7fd5_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/7c21e445.png,72.2,74.1,80.6,50.9,55.6,63.9,66.7,65.7,20.4,64.8,0,62,75,56.5,48.1,44.4,27.8,56.5,56.5,49.1,90.7,44.4,27.8,43.5,65.7,83.3,87
Carlos Soler,27,MF,West Ham,44.35,31.5,19.95,37,Balanced,64.56,68.5,41.98,27.8,33.99,25,53.37,55.6,32.4,9.3,1.18,17.210526315789473,602.3,9.13,390,2024/2025,Premier League,15.7,0.12,0.1,0.06,0.05,1.6,42.73,0.85,36.41,0.09,15.6,0.06,0.09,3.58,0.1,0.51,0.06,0.44,1.09,0.7,0.04,0.69,1.21,0.64,0.46,0.51,2.36,50.72,0.08,https://fbref.com/req/202302030/images/headshots/fed17f5a_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/7c21e445.png,30.6,64.8,73.1,42.6,44.4,71.3,42.6,37,63.9,32.4,38,46.3,29.6,31.5,24.1,43.5,31.5,13.9,18.5,93.5,38.9,43.5,19.4,53.7,50,21.3,17.6
Thomas Soucek,29,MF,West Ham,48.2,46.3,17.7,25.9,Balanced,89.66,90.7,25.9,2.8,23.7,15.7,43.44,36.1,36.17,15.7,1.18,17.210526315789473,602.3,9.13,390,2024/2025,Premier League,28.5,0.23,0.19,0.31,0.26,1.93,33.97,0.74,25.07,0.06,16.52,0.04,0.04,2.59,0.1,0.21,0.02,0.5,0.32,0.74,0.04,0.46,1.44,3.47,0.58,0.7,2.38,44.88,0.07,https://fbref.com/req/202302030/images/headshots/6613c819_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/7c21e445.png,76.9,89.8,92.6,94.4,96.3,83.3,7.4,5.6,5.6,63,29.6,12,38,10.2,6.5,65.7,3.7,20.4,20.4,11.1,100,77.8,29.6,74.1,51.9,9.3,4.6
Edson Alvarez,26,MF,West Ham,44.38,32.4,17.5,23.1,Defensive-Minded,9.72,8.3,51.16,54.6,41.95,34.3,57.84,66.7,51.26,57.4,1.18,17.210526315789473,602.3,9.13,390,2024/2025,Premier League,19.7,0.02,0.02,0,0,0.61,50.94,0.86,43.71,0.11,16.72,0.05,0.04,4.32,0.1,0.71,0.08,0.42,1.22,1.37,0.08,0.54,1.17,1.52,0.57,0.91,0.91,62.93,0.1,https://fbref.com/req/202302030/images/headshots/8b3ab7ad_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/7c21e445.png,45.4,6.5,10.2,0,0,18.5,68.5,74.1,67.6,69.4,31.5,12,30.6,48.1,44.4,38,41.7,54.6,53.7,38,81.5,75,51.9,51.9,17.6,73.1,72.2
Guido Rodriguez,30,MF,West Ham,35.72,11.1,12.26,2.8,Defensive-Minded,9.99,10.2,37.98,17.6,24.44,16.7,57.95,67.6,48.52,47.2,1.18,17.210526315789473,602.3,9.13,390,2024/2025,Premier League,12.8,0.02,0.02,0,0,0.63,44.57,0.84,37.62,0.1,16.86,0.08,0.02,2.58,0.07,0.24,0.03,0.5,0.31,1.49,0.09,0.53,1.8,0.86,0.61,1.02,0.55,55.54,0.09,https://fbref.com/req/202302030/images/headshots/34e393f2_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/7c21e445.png,24.1,6.5,10.2,0,0,19.4,47.2,39.8,57.4,74.1,43.5,2.8,1.9,13.9,10.2,65.7,2.8,63,63,34.3,59.3,85.2,61.1,88.9,6.5,38.9,35.2
James Ward Prowse,29,MF,West Ham,45.46,37,19.95,37,Defensive-Minded,49.81,49.1,62.32,82.4,16.72,6.5,64.37,76.9,38.65,20.4,1.18,17.210526315789473,602.3,9.13,390,2024/2025,Premier League,11.5,0.11,0.09,0.06,0.05,0.94,59.42,0.86,51.4,0.13,16.47,0.13,0.19,4.38,0.09,0.13,0.01,0.4,0.75,0.94,0.05,0.63,0.56,0.81,0.56,0.81,0.75,65.92,0.11,https://fbref.com/req/202302030/images/headshots/3515d404_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/7c21e445.png,20.4,57.4,64.8,42.6,44.4,35.2,87,93.5,70.4,61.1,60.2,82.4,13,3.7,2.8,27.8,18.5,29.6,32.4,85.2,55.6,74.1,40.7,3.7,11.1,76.9,79.6
Bruno Fernandes,29,MF,Manchester United,71.17,100,33.35,96.3,Offensive-Minded,88.88,89.8,75.84,100,61.99,69.4,52.27,51.9,61.45,81.5,1.3,21.5,650.9,6.63,443.1,2024/2025,Premier League,33.5,0.23,0.18,0.15,0.12,2.77,66.86,0.76,50.88,0.11,17.87,0.3,0.25,9.69,0.19,0.84,0.13,0.42,2.3,1.49,0.07,0.59,1.04,0.66,0.44,0.78,3.85,79,0.12,https://fbref.com/req/202302030/images/headshots/507c7bdf_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/19538871.png,94.4,89.8,91.7,75.9,75.9,94.4,86.1,75.9,14.8,92.6,95.4,95.4,95.4,61.1,73.1,37,76.9,63,45.4,64.8,40.7,38,36.1,37,73.1,96.3,94.4
Manuel Ugarte,23,MF,Manchester United,53.85,61.1,20.32,42.6,Defensive-Minded,33.3,35.2,43.29,32.4,55.52,52.8,75.86,90.7,58.29,73.1,1.3,21.5,650.9,6.63,443.1,2024/2025,Premier League,19.8,0.05,0.04,0.05,0.04,0.96,45.88,0.88,40.33,0.09,16.27,0.1,0.06,3.08,0.08,0.91,0.14,0.56,0.81,2.47,0.11,0.64,1.66,0.91,0.5,1.36,1.01,58.45,0.09,https://fbref.com/req/202302030/images/headshots/c9817014_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/19538871.png,47.2,26.9,29.6,38.9,38.9,38,54.6,30.6,83.3,54.6,49.1,27.8,2.8,63.9,79.6,86.1,20.4,98.1,87,88.9,62,48.1,81.5,85.2,22.2,58.3,24.1
Kobbie Mainoo,19,MF,Manchester United,44.27,30.6,17.17,22.2,Defensive-Minded,19.53,21.3,32.79,7.4,57.74,58.3,62.3,72.2,45.77,38,1.3,21.5,650.9,6.63,443.1,2024/2025,Premier League,18.3,0.04,0.03,0,0,0.82,45.57,0.86,39.42,0.09,13.35,0,0.09,3.54,0.09,1.25,0.19,0.46,1.2,1.58,0.07,0.63,0.87,1.04,0.38,1.04,2.56,57.84,0.09,https://fbref.com/req/202302030/images/headshots/c6220452_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/19538871.png,39.8,21.3,21.3,0,0,29.6,51.9,28.7,70.4,0,0,46.3,18.5,84.3,90.7,51.9,39.8,70.4,48.1,87,66.7,25.9,63,20.4,55.6,55.6,22.2
Casemiro,32,MF,Manchester United,56.59,70.4,19.99,38.9,Defensive-Minded,63.13,65.7,51.25,55.6,22.84,13.9,86.96,98.1,68.44,93.5,1.3,21.5,650.9,6.63,443.1,2024/2025,Premier League,16.6,0.11,0.08,0.06,0.05,1.93,59.64,0.79,47,0.11,16.68,0,0.14,5.06,0.11,0.18,0.03,0.5,0.24,3.01,0.14,0.6,2.35,2.17,0.66,0.84,1.69,75.3,0.12,https://fbref.com/req/202302030/images/headshots/4d224fe8_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/19538871.png,32.4,57.4,61.1,42.6,42.6,83.3,78.7,59.3,25,66.7,0,69.4,43.5,7.4,11.1,65.7,0.9,99.1,95.4,70.4,95.4,94.4,43.5,98.1,40.7,93.5,90.7
Christian Eriksen,32,MF,Manchester United,29.53,1.9,16.42,20.4,Balanced,28.86,30.6,57.94,76.9,12.96,2.8,11.7,3.7,55.46,64.8,1.3,21.5,650.9,6.63,443.1,2024/2025,Premier League,11.8,0.05,0.04,0,0,1.19,63.53,0.79,50.06,0.11,16.84,0.17,0.27,4.67,0.09,0,0,0,1.1,0.76,0.04,0.47,1.27,0.17,0.25,0.59,2.36,72.1,0.11,https://fbref.com/req/202302030/images/headshots/980522ec_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/19538871.png,21.3,26.9,29.6,0,0,49.1,83.3,75,25,72.2,73.1,97.2,22.2,0,0,0,32.4,21.3,12,12,3.7,10.2,25.9,59.3,50,90.7,81.5
Mason Mount,25,MF,Manchester United,33.96,7.4,20.45,43.5,Offensive-Minded,85.81,87,36.29,14.8,30.77,22.2,14.04,4.6,45.94,38.9,1.3,21.5,650.9,6.63,443.1,2024/2025,Premier League,6.9,0.14,0.11,0.46,0.35,2.89,36.61,0.82,29.95,0.07,14.57,0,0.09,4.77,0.16,0.14,0.02,0.1,2.17,0.72,0.03,0.33,1.59,0.58,0.33,0.58,5.93,49.05,0.08,https://fbref.com/req/202302030/images/headshots/9674002f_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/19538871.png,7.4,74.1,75,100,99.1,95.4,17.6,7.4,40.7,8.3,0,46.3,85.2,5.6,5.6,1.9,71.3,17.6,11.1,1.9,33.3,18.5,25,81.5,92.6,17.6,6.5
Joao Gomes,23,MF,Wolverhampton Wanderers,57.9,76.9,22.51,55.6,Balanced,50.8,51.9,41.2,24.1,61.27,65.7,55.54,60.2,50.75,53.7,1.15,21.07894736842105,587.6,8.53,380.8,2024/2025,Premier League,33,0.09,0.08,0.09,0.08,1.06,49.12,0.85,41.75,0.11,14.28,0.03,0.04,4.99,0.12,0.91,0.11,0.46,1.79,2.15,0.1,0.61,1.27,0.33,0.3,0.76,2.3,60.46,0.1,https://fbref.com/req/202302030/images/headshots/8b57ad2c_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/8cec06e1.png,92.6,50.9,55.6,54.6,62,41.7,61.1,67.6,61.1,6.5,26.9,12,58.3,63.9,62,53.7,65.7,93.5,78.7,79.6,13.9,14.8,33.3,59.3,47.2,66.7,63
Andre,23,MF,Wolverhampton Wanderers,44.24,29.6,14.9,12,Defensive-Minded,2.85,2.8,48.48,46.3,32.78,23.1,48.67,44.4,57.83,68.5,1.15,21.07894736842105,587.6,8.53,380.8,2024/2025,Premier League,27.5,0.01,0.01,0,0,0.36,48.86,0.93,45.39,0.12,15.77,0,0.03,3.97,0.09,0.58,0.07,0.5,0.36,2,0.09,0.6,1.53,0.07,0.25,1.35,0.4,59.09,0.1,https://fbref.com/req/202302030/images/headshots/ec604e2c_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/8cec06e1.png,75,1.9,2.8,0,0,5.6,75.9,82.4,99.1,39.8,0,10.2,16.7,39.8,32.4,65.7,5.6,88,68.5,74.1,0.9,10.2,80.6,77.8,3.7,61.1,54.6
Tommy Doyle,23,MF,Wolverhampton Wanderers,44.53,34.3,28.35,84.3,Offensive-Minded,53.75,56.5,71.12,98.1,58.32,61.1,26.22,13,66.54,89.8,1.15,21.07894736842105,587.6,8.53,380.8,2024/2025,Premier League,5.4,0.11,0.1,0,0,1.66,72.3,0.82,59.21,0.16,20.53,0.18,0.09,7.38,0.12,0.92,0.11,0.56,1.11,1.11,0.05,0.55,2.03,0.18,0.14,0.92,0.74,85.39,0.15,https://fbref.com/req/202302030/images/headshots/5526deb1_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/8cec06e1.png,1.9,57.4,67.6,0,0,75,96.3,99.1,41.7,100,77.8,46.3,62,65.7,63.9,85.2,33.3,42.6,28.7,45.4,5.6,0.9,52.8,95.4,10.2,98.1,99.1
Mario Lemina,30,MF,Wolverhampton Wanderers,52.88,59.3,21.09,47.2,Defensive-Minded,50.98,52.8,46.06,42.6,45.18,38.9,80.93,94.4,47.11,43.5,1.15,21.07894736842105,587.6,8.53,380.8,2024/2025,Premier League,15.2,0.09,0.08,0.07,0.06,1.19,40.45,0.8,32.52,0.09,19.23,0.2,0.07,3.17,0.1,0.66,0.08,0.62,0.53,2.05,0.1,0.61,0.79,1.65,0.61,1.78,1.39,53.38,0.09,https://fbref.com/req/202302030/images/headshots/2b471f99_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/8cec06e1.png,28.7,50.9,55.6,48.1,48.1,49.1,25.9,24.1,33.3,98.1,82.4,35.2,26.9,43.5,43.5,93.5,10.2,89.8,72.2,75,86.1,84.3,95.4,16.7,30.6,31.5,28.7
Dejan Kulusevski,24,MF,Tottenham Hotspur,54.79,63,26.26,73.1,Offensive-Minded,80.7,85.2,38.38,20.4,70.12,80.6,37.94,29.6,40.43,23.1,1.47,17.394736842105264,639.9,8.11,434.6,2024/2025,Premier League,26.5,0.16,0.11,0.26,0.18,1.77,33.64,0.74,24.79,0.06,14.01,0.15,0.23,4.67,0.19,1.43,0.18,0.32,4.52,1.7,0.1,0.51,1.28,0.38,0.4,0.49,7.91,48.07,0.08,https://fbref.com/req/202302030/images/headshots/df3cda47_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/361ca564.png,73.1,80.6,75.9,91.7,90.7,77.8,5.6,1.9,4.6,2.8,67.6,92.6,94.4,89.8,87,12,100,76.9,73.1,26.9,16.7,28.7,17.6,62,99.1,13.9,5.6
Pape Matar Sarr,21,MF,Tottenham Hotspur,58.26,77.8,22.08,51.9,Defensive-Minded,75.69,78.7,43.51,33.3,38.72,31.5,74.87,88,61.78,82.4,1.47,17.394736842105264,639.9,8.11,434.6,2024/2025,Premier League,21.3,0.17,0.12,0.14,0.1,1.6,48.41,0.86,41.83,0.1,15.31,0.09,0.08,4.14,0.1,0.52,0.06,0.37,1.55,1.69,0.1,0.73,1.22,1.6,0.43,1.41,2.49,58.95,0.09,https://fbref.com/req/202302030/images/headshots/feb5d972_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/361ca564.png,50,82.4,77.8,73.1,69.4,71.3,62,38.9,68.5,25,46.3,40.7,31.5,33.3,30.6,19.4,58.3,75.9,71.3,99.1,84.3,36.1,85.2,55.6,54.6,60.2,34.3
James Maddison,27,MF,Tottenham Hotspur,62.47,92.6,33.75,98.1,Offensive-Minded,92.86,94.4,70.09,97.2,69.64,78.7,45.54,38.9,54.74,63.9,1.47,17.394736842105264,639.9,8.11,434.6,2024/2025,Premier League,20.1,0.29,0.2,0.45,0.31,1.94,62.49,0.81,50.8,0.12,16.32,0.35,0.21,8.16,0.16,1.64,0.2,0.43,2.24,0.95,0.05,0.62,0.75,0.25,0.42,0.6,4.73,72.84,0.11,https://fbref.com/req/202302030/images/headshots/ee38d9c5_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/361ca564.png,48.1,97.2,93.5,99.1,97.2,85.2,85.2,78.7,35.2,56.5,98.1,87,87,94.4,93.5,40.7,73.1,30.6,31.5,81.5,9.3,31.5,26.9,12,85.2,92.6,88.9
Rodrigo Bentancur,27,MF,Tottenham Hotspur,55.38,64.8,24.69,62,Balanced,46.12,44.4,52.91,59.3,63.31,72.2,58.38,68.5,78.17,98.1,1.47,17.394736842105264,639.9,8.11,434.6,2024/2025,Premier League,18.3,0.07,0.05,0.11,0.07,1.2,58.87,0.88,51.75,0.12,16.27,0,0.02,5.47,0.11,1.04,0.13,0.47,1.53,1.2,0.07,0.55,1.37,1.97,0.54,2.19,1.86,71.23,0.11,https://fbref.com/req/202302030/images/headshots/3b8674e6_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/361ca564.png,39.8,35.2,37,64.8,60.2,51.9,88,81.5,83.3,53.7,0,2.8,40.7,76.9,74.1,60.2,56.5,45.4,44.4,46.3,93.5,67.6,98.1,69.4,44.4,88.9,84.3
Yves Bissouma,27,MF,Tottenham Hotspur,42.15,18.5,14.8,11.1,Defensive-Minded,30.16,31.5,43.01,30.6,21.19,13,67.73,79.6,44.71,33.3,1.47,17.394736842105264,639.9,8.11,434.6,2024/2025,Premier League,15.6,0.04,0.03,0.13,0.09,0.7,54.46,0.89,48.25,0.11,15.07,0,0.02,4.79,0.1,0.45,0.06,0.32,0.96,1.98,0.11,0.63,0.7,0.45,0.5,1.15,0.19,66.41,0.1,https://fbref.com/req/202302030/images/headshots/6c203af0_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/361ca564.png,29.6,21.3,16.7,67.6,66.7,24.1,81.5,70.4,86.1,18.5,0,2.8,32.4,26.9,23.1,11.1,25.9,86.1,85.2,88,23.1,48.1,68.5,11.1,0,77.8,68.5
Lucas Bergvall,18,MF,Tottenham Hotspur,46.5,41.7,23.59,58.3,Balanced,22.22,27.8,48.56,47.2,77.69,93.5,43.27,35.2,72.31,96.3,1.47,17.394736842105264,639.9,8.11,434.6,2024/2025,Premier League,13.5,0.05,0.03,0,0,0.89,53.47,0.87,46.73,0.11,16.8,0.07,0.04,3.64,0.08,1.56,0.19,0.47,2.45,1.41,0.08,0.49,1.34,0.67,0.53,1.78,2.3,65.72,0.1,NA,https://cdn.ssref.net/req/202510241/tlogo/fb/361ca564.png,25,26.9,23.1,0,0,32.4,77.8,62,79.6,70.4,40.7,12,3.7,93.5,91.7,56.5,82.4,58.3,54.6,18.5,42.6,64.8,95.4,68.5,47.2,75.9,61.1
Facundo Buonanotte,19,MF,Leicester City,57.23,72.2,27.2,77.8,Balanced,93.47,96.3,40.88,22.2,64.53,74.1,60.54,69.4,52.22,60.2,0.8,19.157894736842106,572.3,6.95,367,2024/2025,Premier League,16.9,0.23,0.29,0.3,0.37,2.13,33.8,0.76,25.82,0.07,15.86,0.12,0.18,3.19,0.12,1.65,0.24,0.34,2.3,1.89,0.1,0.6,2.01,1.06,0.33,0.71,4.37,51.65,0.09,https://fbref.com/req/202302030/images/headshots/468a7a91_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/a2d435b3.png,33.3,89.8,100,93.5,100,88.9,10.2,11.1,16.7,42.6,54.6,79.6,61.1,95.4,96.3,16.7,76.9,84.3,74.1,73.1,68.5,18.5,31.5,94.4,80.6,25.9,25.9
Bibal El Khannouss,20,MF,Leicester City,57.65,75.9,29.85,90.7,Offensive-Minded,46.72,45.4,58.41,77.8,90,99.1,52.95,52.8,29.2,6.5,0.8,19.157894736842106,572.3,6.95,367,2024/2025,Premier League,24.2,0.05,0.06,0.08,0.1,1.24,43.85,0.75,32.93,0.09,18.06,0.12,0.19,5.28,0.16,1.4,0.2,0.57,3.01,1.24,0.06,0.6,0.91,0.78,0.44,0.25,3.67,52.3,0.09,https://fbref.com/req/202302030/images/headshots/f7042636_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/a2d435b3.png,62,26.9,46.3,50.9,72.2,53.7,27.8,29.6,8.3,93.5,54.6,82.4,86.1,88.9,92.6,87,91.7,47.2,38,69.4,53.7,38.9,3.7,23.1,72.2,28.7,31.5
Wilfred Ndidi,27,MF,Leicester City,49.4,52.8,12.46,3.7,Defensive-Minded,38.6,37,24.41,0.9,24.77,17.6,73.66,84.3,63.24,86.1,0.8,19.157894736842106,572.3,6.95,367,2024/2025,Premier League,25.8,0.08,0.1,0,0,0.85,40.47,0.8,32.5,0.09,14.34,0.19,0.07,2.71,0.08,0.5,0.07,0.39,0.7,1.98,0.1,0.6,1.82,2.36,0.51,1.2,2.9,54.22,0.09,https://fbref.com/req/202302030/images/headshots/6b47c5db_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/a2d435b3.png,68.5,44.4,72.2,0,0,31.5,25,27.8,31.5,7.4,80.6,35.2,10.2,30.6,38.9,26.9,15.7,86.1,80.6,68.5,97.2,56.5,71.3,89.8,61.1,35.2,42.6
Boubakary Soumare,25,MF,Leicester City,46.96,43.5,19.43,32.4,Balanced,3.26,3.7,41.54,25.9,71.96,85.2,53.36,54.6,48.66,49.1,0.8,19.157894736842106,572.3,6.95,367,2024/2025,Premier League,24.1,0.01,0.01,0,0,0.29,51.16,0.87,44.51,0.12,15.09,0,0.02,4.35,0.1,1.12,0.16,0.6,1.41,0.83,0.04,0.54,0.91,0.87,0.66,1.12,0.95,59.74,0.1,https://fbref.com/req/202302030/images/headshots/ae59b359_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/a2d435b3.png,61.1,1.9,5.6,0,0,4.6,74.1,88.9,75.9,20.4,0,2.8,27.8,80.6,82.4,91.7,50,25,21.3,41.7,60.2,95.4,66.7,23.1,19.4,63.9,70.4
Harry Winks,28,MF,Leicester City,32.04,5.6,14.95,13.9,Balanced,7.16,6.5,57.82,75.9,17.77,8.3,29.12,16.7,43.11,30.6,0.8,19.157894736842106,572.3,6.95,367,2024/2025,Premier League,17.1,0.01,0.01,0,0,0.59,61.15,0.87,53.26,0.15,15.5,0.12,0.07,5.91,0.11,0.18,0.03,0.25,1.11,0.64,0.03,0.46,1.11,0.47,0.57,0.53,0.64,67.76,0.12,https://fbref.com/req/202302030/images/headshots/2f7acede_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/a2d435b3.png,34.3,1.9,5.6,0,0,17.6,93.5,97.2,77.8,27.8,54.6,35.2,48.1,7.4,9.3,6.5,33.3,12,10.2,10.2,25,75.9,20.4,45.4,8.3,82.4,92.6
Oliver Skipp,23,MF,Leicester City,31.91,3.7,14.5,8.3,Balanced,11.67,12,23.67,0,57.33,57.4,33.93,20.4,48.76,50,0.8,19.157894736842106,502.4,6.95,367,2024/2025,Premier League,12.5,0.03,0.04,0,0,0.4,40.02,0.84,33.42,0.09,15.27,0,0.02,2.79,0.08,0.56,0.08,0.58,1.28,0.32,0.02,0.19,1.83,0.96,0.67,0.88,1.51,48.79,0.1,https://fbref.com/req/202302030/images/headshots/6250083a_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/a2d435b3.png,23.1,11.1,27.8,0,0,6.5,30.6,31.5,51.9,22.2,0,2.8,11.1,37,46.3,88.9,45.4,0.9,0,0,64.8,96.3,49.1,90.7,34.3,14.8,45.4
Omari Hutchinson,20,MF,Ipswich Town,44.47,33.3,24.84,64.8,Offensive-Minded,67.9,71.3,34.89,13,73.84,89.8,5.19,1.9,31.25,7.4,0.86,15.5,502.4,7.29,303.3,2024/2025,Premier League,28.7,0.1,0.12,0.1,0.12,1.57,30.84,0.78,24.06,0.08,15.76,0.12,0.12,2.61,0.11,1.78,0.24,0.37,3.38,0.45,0.03,0.4,0.94,0.21,0.19,0.38,5.54,43.87,0.09,https://fbref.com/req/202302030/images/headshots/bd9553e6_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/b74092de.png,78.7,54.6,79.6,61.1,76.9,68.5,3.7,15.7,21.3,38.9,54.6,62,44.4,96.3,97.2,22.2,95.4,3.7,4.6,6.5,6.5,3.7,11.1,28.7,90.7,5.6,21.3
Julio Enciso,20,MF,Ipswich Town,53.41,60.2,29.15,87,Balanced,92.87,95.4,38.76,21.3,80.77,96.3,56.75,63.9,27.86,5.6,0.86,15.5,502.4,7.29,303.3,2024/2025,Premier League,9.7,0.21,0.24,0.15,0.17,4.02,30.8,0.68,20.88,0.07,15.72,0.23,0.12,3.25,0.16,3.1,0.43,0.46,2.63,0.7,0.05,0.75,0.77,1.08,0.39,0.08,4.72,47.05,0.09,https://fbref.com/req/202302030/images/headshots/9cfbad36_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/b74092de.png,17.6,86.1,99.1,75.9,89.8,100,1.9,9.3,0,35.2,88.9,62,84.3,100,100,51.9,88,13.9,23.1,100,69.4,27.8,0.9,14.8,84.3,12,39.8
Sam Morsy,32,MF,Ipswich Town,48.67,50.9,17.53,24.1,Defensive-Minded,11.22,11.1,47.69,45.4,45.83,39.8,53.25,53.7,44.86,35.2,0.86,15.5,502.4,7.29,303.3,2024/2025,Premier League,30.6,0.01,0.01,0.03,0.03,0.43,47.27,0.86,40.84,0.13,16.13,0.03,0.04,3.93,0.1,0.56,0.08,0.59,0.72,1.34,0.09,0.6,1.11,0.59,0.43,0.95,0.43,55.06,0.11,https://fbref.com/req/202302030/images/headshots/a23c0949_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/b74092de.png,85.2,1.9,3.7,31.5,36.1,10.2,57.4,95.4,68.5,51.9,26.9,12,25.9,37,42.6,90.7,16.7,52.8,62,72.2,35.2,34.3,57.4,45.4,4.6,37,80.6
Jens Cajuste,24,MF,Ipswich Town,39.01,14.8,18.7,27.8,Balanced,21.49,25.9,34.2,12,64.75,75,28.38,15.7,43.51,31.5,0.86,15.5,502.4,7.29,303.3,2024/2025,Premier League,21.8,0.03,0.03,0.05,0.06,0.55,35.97,0.83,29.71,0.1,16.38,0.05,0.04,2.71,0.09,1.29,0.18,0.53,1.19,1.01,0.07,0.5,1.15,0.6,0.37,1.29,0.92,46.72,0.09,https://fbref.com/req/202302030/images/headshots/928a4a61_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/b74092de.png,51.9,11.1,24.1,38.9,46.3,13.9,16.7,43.5,47.2,57.4,31.5,12,19.4,86.1,88,76.9,38.9,37,38.9,20.4,37,25,75.9,49.1,18.5,11.1,37
Kalvin Phillips,28,MF,Ipswich Town,32.81,6.5,13.09,5.6,Balanced,17.14,18.5,44.21,39.8,16.87,7.4,35.44,23.1,61.24,80.6,0.86,15.5,502.4,7.29,303.3,2024/2025,Premier League,13.7,0.03,0.03,0,0,0.8,40.09,0.79,31.71,0.1,19.68,0,0.01,3.71,0.12,0.36,0.05,0.42,0.29,1.38,0.09,0.54,2.55,0.51,0.24,1.38,0.29,53.77,0.11,https://fbref.com/req/202302030/images/headshots/4f565d77_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/b74092de.png,25.9,11.1,24.1,0,0,27.8,22.2,57.4,26.9,99.1,0,0.9,54.6,17.6,17.6,36.1,1.9,55.6,65.7,38.9,30.6,9.3,83.3,99.1,0.9,32.4,75.9
