Player Name,Age,Position,Team,OverallComposite,OverallComposite_Percentile,OffensiveComposite,OffensiveComposite_Percentile,MidfielderType,ShootingComposite,ShootingComposite_Percentile,PassingComposite,PassingComposite_Percentile,DribblingComposite,DribblingComposite_Percentile,DefendingComposite,DefendingComposite_Percentile,PositioningComposite,PositioningComposite_Percentile,TeamNPXG/90,Team Tackles/90,Team Touches/90,Team Sucessful Take-Ons,Team Passes Completed,Season,League,90s,npxG,Share of npxG,Non Penalty Goals,Non Penalty Goals/TeamXG,Shots,Passes Attempted,Pass Completion %,Passes Completed,Share of Passes Completed,Average Pass Length,Assists,xAG,Progressive Passes,Progressive Passes/Passes Completed,Successful Take-Ons,Share of Sucessful Take-Ons,Successful Take-On Percentage,Progressive Carries,Tackles Won,Share of Tackles Won,Tackle Completion %,Blocks,Aerial Duels Won,Aerial Duel Win %,Interceptions,Progressive Passes Received,Touches,Share of Touches,Player Image Address,Team Image Address,90s_Percentile,npxG_Percentile,Share of npxG_Percentile,Non Penalty Goals_Percentile,Non Penalty Goals/TeamXG_Percentile,Shots_Percentile,Passes Completed_Percentile,Share of Passes Completed_Percentile,Pass Completion %_Percentile,Average Pass Length_Percentile,Assists_Percentile,xAG_Percentile,Progressive Passes/Passes Completed_Percentile,Successful Take-Ons_Percentile,Share of Sucessful Take-Ons_Percentile,Successful Take-On Percentage_Percentile,Progressive Carries_Percentile,Tackles Won_Percentile,Share of Tackles Won_Percentile,Tackle Completion %_Percentile,Aerial Duels Won_Percentile,Aerial Duel Win %_Percentile,Interceptions_Percentile,Blocks_Percentile,Progressive Passes Received_Percentile,Touches_Percentile,Share of Touches_Percentile
Daichi Kamada,27,MF,Crystal Palace,43.52,25.9,18.85,30.6,Balanced,30.63,33.3,52.2,57.4,35.64,27.8,48.51,42.6,57.3,66.7,1.51,20.18421052631579,536.6,5.5,312.5,2024/2025,Premier League,17.4,0.06,0.04,0,0,1.15,43.27,0.8,34.7,0.11,16.21,0,0.11,5.12,0.15,0.4,0.07,0.37,1.44,1.67,0.08,0.62,1.27,0.23,0.23,1.04,3.22,53.92,0.1,https://fbref.com/req/202302030/images/headshots/15b287da_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/47c64c55.png,35.2,33.3,31.5,0,0,48.1,36.1,71.3,30.6,52.8,0,56.5,81.5,21.3,39.8,20.4,50.9,73.1,57.4,82.4,7.4,7.4,63,59.3,66.7,34.3,53.7
Justin Devenny,20,MF,Crystal Palace,42.93,23.1,21.73,50,Balanced,74.31,77.8,43.94,38,36.72,29.6,57.83,65.7,26.1,2.8,1.51,20.18421052631579,536.6,5.5,312.5,2024/2025,Premier League,5.6,0.14,0.09,0.18,0.12,1.78,36.39,0.72,26.27,0.08,16.44,0.18,0.11,3.73,0.14,0.36,0.07,0.5,0.89,2.13,0.11,0.71,1.07,0.36,0.13,0,2.31,49.53,0.09,https://fbref.com/req/202302030/images/headshots/6c2b66fc_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/47c64c55.png,2.8,74.1,63.9,83.3,78.7,78.7,11.1,21.3,1.9,60.2,77.8,56.5,79.6,17.6,31.5,65.7,24.1,91.7,81.5,96.3,14.8,0,0,39.8,49.1,19.4,36.1
Cheick Doucoure,24,MF,Crystal Palace,34.49,9.3,16.27,19.4,Balanced,40.35,39.8,46.11,44.4,20.1,10.2,44.56,38,50.59,52.8,1.51,20.18421052631579,536.6,5.5,312.5,2024/2025,Premier League,5,0.08,0.05,0,0,1.39,40.62,0.85,34.65,0.11,16.72,0,0,3.78,0.11,0.4,0.07,0.4,0.4,1.59,0.08,0.5,0.8,1,0.5,2.19,1.39,52.37,0.1,https://fbref.com/req/202302030/images/headshots/ce4f40c7_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/47c64c55.png,0,44.4,42.6,0,0,62,35.2,68.5,64.8,68.5,0,0,45.4,21.3,39.8,27.8,6.5,71.3,51.9,19.4,65.7,48.1,98.1,17.6,30.6,29.6,47.2
Jefferson Lerma,29,MF,Crystal Palace,42.6,22.2,15.91,17.6,Balanced,21.19,24.1,44.18,38.9,33.03,24.1,36.33,24.1,64.1,88,1.51,20.18421052631579,536.6,5.5,312.5,2024/2025,Premier League,25.3,0.04,0.03,0,0,1.03,44.37,0.75,33.41,0.11,17.43,0.04,0.06,3.84,0.11,0.28,0.05,0.54,0.51,0.67,0.03,0.48,1.5,1.62,0.51,1.66,1.03,55.65,0.1,https://fbref.com/req/202302030/images/headshots/9b5ce51a_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/47c64c55.png,67.6,21.3,15.7,0,0,39.8,29.6,61.1,9.3,85.2,29.6,27.8,52.8,14.8,19.4,80.6,9.3,13,9.3,16.7,85.2,59.3,93.5,75.9,23.1,40.7,67.6
Carlos Alvarez,21,MF,Everton,56.29,68.5,33.56,97.2,Offensive-Minded,92.53,93.5,66.84,91.7,72.94,86.1,51.39,49.1,33.06,11.1,1.06,19.263157894736842,510.7,7.45,300.1,2024/2025,Premier League,8.5,0.21,0.2,0.23,0.22,3.14,33.84,0.81,27.58,0.09,17.65,0.35,0.2,5.58,0.2,1.05,0.14,0.45,2.67,0.58,0.03,0.53,1.05,1.74,0.65,0.7,2.56,45.93,0.09,https://fbref.com/req/202302030/images/headshots/4abac767_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/d3fd31cc.png,13,86.1,94.4,88.9,93.5,97.2,13.9,33.3,37,88,98.1,85.2,97.2,77.8,80.6,45.4,88.9,10.2,6.5,36.1,88,93.5,29.6,38.9,55.6,10.2,25
Idrissa Gana Gueye,34,MF,Everton,58.39,78.7,18.5,26.9,Defensive-Minded,15.47,16.7,58.75,78.7,34.7,26.9,75.64,88.9,57.56,67.6,1.06,19.263157894736842,510.7,7.45,300.1,2024/2025,Premier League,34,0.03,0.03,0,0,0.79,41.78,0.86,36.14,0.12,16.89,0.09,0.05,4.26,0.12,0.53,0.07,0.46,0.79,2.35,0.12,0.6,1.41,0.71,0.62,1.41,0.79,52.92,0.1,https://fbref.com/req/202302030/images/headshots/72c812f3_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/d3fd31cc.png,96.3,11.1,18.5,0,0,26.9,40.7,86.1,70.4,75.9,46.3,21.3,56.5,35.2,37,53.7,19.4,97.2,90.7,67.6,45.4,86.1,85.2,72.2,14.8,30.6,66.7
Abdoulaye Doucoure,31,MF,Everton,48.73,51.9,20.64,45.4,Balanced,48.24,47.2,31.1,5.6,63.98,73.1,46.12,39.8,26.11,3.7,1.06,19.263157894736842,510.7,7.45,300.1,2024/2025,Premier League,28.5,0.07,0.07,0.11,0.1,1.09,31.7,0.8,25.46,0.08,15.05,0.07,0.08,2.88,0.11,0.84,0.11,0.53,1.47,0.98,0.05,0.58,1.09,1.05,0.41,0.35,3.37,40.75,0.08,https://fbref.com/req/202302030/images/headshots/02b29014_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/d3fd31cc.png,76.9,35.2,48.1,64.8,73.1,45.4,8.3,23.1,31.5,17.6,40.7,40.7,50,61.1,64.8,78.7,53.7,34.3,27.8,58.3,67.6,30.6,7.4,41.7,69.4,0,11.1
Orel Mangala,26,MF,Everton,35.67,10.2,20.24,41.7,Offensive-Minded,48.33,48.1,37.72,16.7,52.42,48.1,20.86,9.3,37.68,19.4,1.06,19.263157894736842,510.7,7.45,300.1,2024/2025,Premier League,14,0.08,0.08,0.07,0.07,1.14,34.97,0.89,31.19,0.1,16.01,0,0.04,2.43,0.08,1,0.13,0.58,0.43,0.57,0.03,0.5,0.57,0.43,0.43,1.5,1.36,44.32,0.09,https://fbref.com/req/202302030/images/headshots/a572e291_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/d3fd31cc.png,26.9,44.4,51.9,48.1,52.8,47.2,20.4,55.6,88.9,48.1,0,12,4.6,74.1,77.8,88.9,7.4,9.3,5.6,20.4,21.3,34.3,88.9,4.6,29.6,7.4,20.4
Tim Iroegbunan,21,MF,Everton,39.84,15.7,15.74,16.7,Defensive-Minded,15.17,15.7,33.11,8.3,50.67,47.2,66.98,78.7,59.12,75.9,1.06,19.263157894736842,510.7,7.45,300.1,2024/2025,Premier League,6.5,0.03,0.03,0,0,0.78,24.77,0.73,18.03,0.06,16.71,0.16,0.03,2.35,0.13,1.25,0.17,0.4,1.25,2.2,0.11,0.48,2.82,1.72,0.73,2.51,1.41,42.18,0.08,https://fbref.com/req/202302030/images/headshots/84c5ceea_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/d3fd31cc.png,4.6,11.1,18.5,0,0,25.9,0.9,3.7,3.7,67.6,70.4,10.2,66.7,84.3,84.3,27.8,42.6,94.4,86.1,17.6,87,100,100,100,32.4,2.8,14.8
James Garner,23,MF,Everton,42.56,21.3,13.24,6.5,Defensive-Minded,18.89,20.4,40.97,23.1,21.03,11.1,68.04,80.6,58.16,71.3,1.06,19.263157894736842,510.7,7.45,300.1,2024/2025,Premier League,17.7,0.04,0.04,0,0,0.68,45.34,0.76,34.5,0.11,17.44,0.06,0.08,2.82,0.08,0.4,0.05,0.37,0.85,1.75,0.09,0.66,1.13,0.62,0.46,1.3,1.69,55.16,0.11,https://fbref.com/req/202302030/images/headshots/4e015693_2022.jpg,https://cdn.ssref.net/req/202510241/tlogo/fb/d3fd31cc.png,37,21.3,28.7,0,0,21.3,34.3,76.9,14.8,86.1,38,40.7,8.3,21.3,21.3,20.4,21.3,81.5,66.7,91.7,38,45.4,76.9,47.2,40.7,38,78.7
